year,category_std,count,source_primary,period_flag,notes
2005,DRUG,4734.0,NPA,CORE,
2005,TRAFFICKING,3966.0,NPA,CORE,
2005,SMUGGLING,4258.0,NPA,CORE,
2005,CYBER,6931.0,NPA,CORE,
2005,FRAUD_FIN,240315.0,NPA,CORE,
2005,IMMIGRATION,1689.0,NPA,CORE,
2005,OTHER,4351739.0,NPA,CORE,
2006,DRUG,5059.0,NPA,CORE,
2006,TRAFFICKING,7672.0,NPA,CORE,
2006,SMUGGLING,3815.0,NPA,CORE,
2006,CYBER,9479.0,NPA,CORE,
2006,FRAUD_FIN,239671.0,NPA,CORE,
2006,IMMIGRATION,1989.0,NPA,CORE,
2006,OTHER,4218758.0,NPA,CORE,
2007,DRUG,6800.0,NPA,CORE,
2007,TRAFFICKING,8738.0,NPA,CORE,
2007,SMUGGLING,4516.0,NPA,CORE,
2007,CYBER,13396.0,NPA,CORE,
2007,FRAUD_FIN,220146.0,NPA,CORE,
2007,IMMIGRATION,1904.0,NPA,CORE,
2007,OTHER,4521765.0,NPA,CORE,
2008,DRUG,5670.0,NPA,CORE,
2008,TRAFFICKING,16972.0,NPA,CORE,
2008,SMUGGLING,5238.0,NPA,CORE,
2008,CYBER,15981.0,NPA,CORE,
2008,FRAUD_FIN,241542.0,NPA,CORE,
2008,IMMIGRATION,2951.0,NPA,CORE,
2008,OTHER,4988086.0,NPA,CORE,
2009,DRUG,6888.0,NPA,CORE,
2009,TRAFFICKING,25788.0,NPA,CORE,
2009,SMUGGLING,5774.0,NPA,CORE,
2009,CYBER,14640.0,NPA,CORE,
2009,FRAUD_FIN,267489.0,NPA,CORE,
2009,IMMIGRATION,3078.0,NPA,CORE,
2009,OTHER,5005849.0,NPA,CORE,
2010,DRUG,4779.0,NPA,CORE,
2010,TRAFFICKING,10037.0,NPA,CORE,
2010,SMUGGLING,2945.0,NPA,CORE,
2010,CYBER,17291.0,NPA,CORE,
2010,FRAUD_FIN,252819.0,NPA,CORE,
2010,IMMIGRATION,2778.0,NPA,CORE,
2010,OTHER,4483122.0,NPA,CORE,
2011,DRUG,5531.0,NPA,CORE,
2011,TRAFFICKING,7036.0,NPA,CORE,
2011,SMUGGLING,3142.0,NPA,CORE,
2011,CYBER,16475.0,NPA,CORE,
2011,FRAUD_FIN,267673.0,NPA,CORE,
2011,IMMIGRATION,1762.0,NPA,CORE,
2011,OTHER,4501084.0,NPA,CORE,
2012,DRUG,5900.0,NPA,CORE,
2012,TRAFFICKING,5835.0,NPA,CORE,
2012,SMUGGLING,2751.0,NPA,CORE,
2012,CYBER,15552.0,NPA,CORE,
2012,FRAUD_FIN,290602.0,NPA,CORE,
2012,IMMIGRATION,1390.0,NPA,CORE,
2012,OTHER,4606391.0,NPA,CORE,
2013,DRUG,5636.0,NPA,CORE,
2013,TRAFFICKING,6291.0,NPA,CORE,
2013,SMUGGLING,2925.0,NPA,CORE,
2013,CYBER,15122.0,NPA,CORE,
2013,FRAUD_FIN,322963.0,NPA,CORE,
2013,IMMIGRATION,1619.0,NPA,CORE,
2013,OTHER,4716663.0,NPA,CORE,
2014,DRUG,6383.400000000001,NPA,CORE,
2014,TRAFFICKING,11414.6,NPA,CORE,
2014,SMUGGLING,6250.4,NPA,CORE,
2014,CYBER,36057.2,NPA,CORE,
2014,FRAUD_FIN,531366.9,NPA,CORE,
2014,IMMIGRATION,1807.0,NPA,CORE,
2014,OTHER,7110976.6,NPA,CORE,
2015,DRUG,8673.6,NPA,CORE,
2015,TRAFFICKING,11676.699999999999,NPA,CORE,
2015,SMUGGLING,5630.3,NPA,CORE,
2015,CYBER,38874.5,NPA,CORE,
2015,FRAUD_FIN,567288.6,NPA,CORE,
2015,IMMIGRATION,2012.2,NPA,CORE,
2015,OTHER,7370696.4,NPA,CORE,
2016,DRUG,9107.5,NPA,CORE,
2016,TRAFFICKING,19808.7,NPA,CORE,
2016,SMUGGLING,5975.8,NPA,CORE,
2016,CYBER,28267.2,NPA,CORE,
2016,FRAUD_FIN,563893.5,NPA,CORE,
2016,IMMIGRATION,3076.5,NPA,CORE,
2016,OTHER,7252670.1,NPA,CORE,
2017,DRUG,9499.4,NPA,CORE,
2017,TRAFFICKING,15045.800000000001,NPA,CORE,
2017,SMUGGLING,5412.1,NPA,CORE,
2017,CYBER,26182.3,NPA,CORE,
2017,FRAUD_FIN,546395.4,NPA,CORE,
2017,IMMIGRATION,2504.7,NPA,CORE,
2017,OTHER,6631989.4,NPA,CORE,
2018,DRUG,8122.400000000001,NPA,CORE,
2018,TRAFFICKING,11119.1,NPA,CORE,
2018,SMUGGLING,5898.6,NPA,CORE,
2018,CYBER,27514.399999999998,NPA,CORE,
2018,FRAUD_FIN,628676.7,NPA,CORE,
2018,IMMIGRATION,2731.0,NPA,CORE,
2018,OTHER,6341266.2,NPA,CORE,
2019,DRUG,9597.0,NPA,CORE,
2019,TRAFFICKING,9682.3,NPA,CORE,
2019,SMUGGLING,4760.3,NPA,CORE,
2019,CYBER,28429.5,NPA,CORE,
2019,FRAUD_FIN,702675.9,NPA,CORE,
2019,IMMIGRATION,4408.3,NPA,CORE,
2019,OTHER,6451538.8,NPA,CORE,
2020,DRUG,10911.4,NPA,CORE,
2020,TRAFFICKING,10486.8,NPA,CORE,
2020,SMUGGLING,3281.2999999999997,NPA,CORE,
2020,CYBER,32791.7,NPA,CORE,
2020,FRAUD_FIN,776988.0,NPA,CORE,
2020,IMMIGRATION,2682.9,NPA,CORE,
2020,OTHER,6223700.8,NPA,CORE,
2021,DRUG,9359.7,NPA,CORE,
2021,TRAFFICKING,8974.5,NPA,CORE,
2021,SMUGGLING,3252.8,NPA,CORE,
2021,CYBER,43245.7,NPA,CORE,
2021,FRAUD_FIN,643715.7000000001,NPA,CORE,
2021,IMMIGRATION,1440.9,NPA,CORE,
2021,OTHER,5568359.8,NPA,CORE,
2022,DRUG,12129.4,NPA,CORE,
2022,TRAFFICKING,9507.199999999999,NPA,CORE,
2022,SMUGGLING,3192.2999999999997,NPA,CORE,
2022,CYBER,51635.0,NPA,CORE,
2022,FRAUD_FIN,712124.2,NPA,CORE,
2022,IMMIGRATION,1424.3,NPA,CORE,
2022,OTHER,5771440.9,NPA,CORE,
2023,DRUG,17431.8,NPA,CORE,
2023,TRAFFICKING,8912.8,NPA,CORE,
2023,SMUGGLING,3262.3999999999996,NPA,CORE,
2023,CYBER,51854.4,NPA,CORE,
2023,FRAUD_FIN,765670.7,NPA,CORE,
2023,IMMIGRATION,1951.0,NPA,CORE,
2023,OTHER,5871428.6,NPA,CORE,
2024,DRUG,13506.699999999999,NPA,EXT,
2024,TRAFFICKING,9321.9,NPA,EXT,
2024,SMUGGLING,4116.7,NPA,EXT,
2024,CYBER,69435.1,NPA,EXT,
2024,FRAUD_FIN,931489.7000000001,NPA,EXT,
2024,IMMIGRATION,2251.3,NPA,EXT,
2024,OTHER,6179347.5,NPA,EXT,
