year,category_std,count,source_primary,period_flag,notes,total_count,share
2005,DRUG,4734.0,NPA,CORE,,4613632.0,0.001026089640439463
2005,TRAFFICKING,3966.0,NPA,CORE,,4613632.0,0.0008596264288092332
2005,SMUGGLING,4258.0,NPA,CORE,,4613632.0,0.0009229171290644768
2005,CYBER,6931.0,NPA,CORE,,4613632.0,0.001502287135168128
2005,FRAUD_FIN,240315.0,NPA,CORE,,4613632.0,0.052088029561092
2005,IMMIGRATION,1689.0,NPA,CORE,,4613632.0,0.0003660890162024193
2005,OTHER,4351739.0,NPA,CORE,,4613632.0,0.9432349610892243
2006,DRUG,5059.0,NPA,CORE,,4486443.0,0.0011276193634913003
2006,TRAFFICKING,7672.0,NPA,CORE,,4486443.0,0.0017100406714183152
2006,SMUGGLING,3815.0,NPA,CORE,,4486443.0,0.0008503395674479761
2006,CYBER,9479.0,NPA,CORE,,4486443.0,0.0021128096356066487
2006,FRAUD_FIN,239671.0,NPA,CORE,,4486443.0,0.053421162377411235
2006,IMMIGRATION,1989.0,NPA,CORE,,4486443.0,0.0004433356224519068
2006,OTHER,4218758.0,NPA,CORE,,4486443.0,0.9403346927621726
2007,DRUG,6800.0,NPA,CORE,,4777265.0,0.001423408582107126
2007,TRAFFICKING,8738.0,NPA,CORE,,4777265.0,0.001829080028007657
2007,SMUGGLING,4516.0,NPA,CORE,,4777265.0,0.0009453107583523208
2007,CYBER,13396.0,NPA,CORE,,4777265.0,0.0028041149067510383
2007,FRAUD_FIN,220146.0,NPA,CORE,,4777265.0,0.046082015546552266
2007,IMMIGRATION,1904.0,NPA,CORE,,4777265.0,0.00039855440298999534
2007,OTHER,4521765.0,NPA,CORE,,4777265.0,0.9465175157752396
2008,DRUG,5670.0,NPA,CORE,,5276440.0,0.0010745881692959646
2008,TRAFFICKING,16972.0,NPA,CORE,,5276440.0,0.0032165626824146583
2008,SMUGGLING,5238.0,NPA,CORE,,5276440.0,0.000992714784968653
2008,CYBER,15981.0,NPA,CORE,,5276440.0,0.0030287466549415894
2008,FRAUD_FIN,241542.0,NPA,CORE,,5276440.0,0.0457774560120081
2008,IMMIGRATION,2951.0,NPA,CORE,,5276440.0,0.0005592786045136494
2008,OTHER,4988086.0,NPA,CORE,,5276440.0,0.9453506530918574
2009,DRUG,6888.0,NPA,CORE,,5329506.0,0.0012924274782690928
2009,TRAFFICKING,25788.0,NPA,CORE,,5329506.0,0.004838722388153799
2009,SMUGGLING,5774.0,NPA,CORE,,5329506.0,0.0010834024767023434
2009,CYBER,14640.0,NPA,CORE,,5329506.0,0.002746971295275772
2009,FRAUD_FIN,267489.0,NPA,CORE,,5329506.0,0.05019020524603969
2009,IMMIGRATION,3078.0,NPA,CORE,,5329506.0,0.0005775394567526522
2009,OTHER,5005849.0,NPA,CORE,,5329506.0,0.9392707316588067
2010,DRUG,4779.0,NPA,CORE,,4773771.0,0.0010010953604603153
2010,TRAFFICKING,10037.0,NPA,CORE,,4773771.0,0.002102530682766308
2010,SMUGGLING,2945.0,NPA,CORE,,4773771.0,0.0006169127090511883
2010,CYBER,17291.0,NPA,CORE,,4773771.0,0.0036220840924292346
2010,FRAUD_FIN,252819.0,NPA,CORE,,4773771.0,0.05296001840054749
2010,IMMIGRATION,2778.0,NPA,CORE,,4773771.0,0.0005819298831049918
