범죄별(1),범죄별(2),범죄별(3),2005,2005.1,2005.2,2005.3,2005.4,2005.5,2005.6,2006,2006.1,2006.2,2006.3,2006.4,2006.5,2006.6,2007,2007.1,2007.2,2007.3,2007.4,2007.5,2007.6,2008,2008.1,2008.2,2008.3,2008.4,2008.5,2008.6,2009,2009.1,2009.2,2009.3,2009.4,2009.5,2009.6,2010,2010.1,2010.2,2010.3,2010.4,2010.5,2010.6,2011,2011.1,2011.2,2011.3,2011.4,2011.5,2011.6,2012,2012.1,2012.2,2012.3,2012.4,2012.5,2012.6,2013,2013.1,2013.2,2013.3,2013.4,2013.5,2013.6
범죄별(1),범죄별(2),범죄별(3),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명)
합계,소계,소계,1893896,3882.3,1624522,85.8,1897093,1697448,199645,1829211,3733.7,1569547,85.8,1813816,1623302,190514,1965977,3987.7,1720000,87.5,2099447,1829161,270286,2189452,4419.5,1914469,87.4,2322822,2022799,300023,2168185,4356,1933566,89.2,2393844,2058020,335824,1917300,3750,1620942,84.5,1769121,1658150,110971,1902720,3750,1496334,78.6,1583841,1527747,56094,1944906,3817,1496304,76.9,1983697,1628843,354854,2006682,3921,1543930,76.9,1996629,1646783,349846
형법범,소계,소계,825840,1692.9,634244,76.8,856072,741461,114611,828021,1690.1,640296,77.3,849482,739705,109777,845311,1714.6,667959,79,958804,806643,152161,897536,1811.7,709117,79,1014392,854071,160321,993136,1995,836099,84.2,1162426,984599,177827,939171,1837,710146,75.6,820074,761964,58110,997263,1966,678817,68.1,740372,711507,28865,1038609,2039,684832,65.9,1035335,843596,191739,1057855,2067,696449,65.8,1027127,841071,186056
,재산범죄,소계,442015,906.1,285864,64.7,339896,297882,42014,455948,930.7,296368,65,341934,302490,39444,469654,952.6,318040,67.7,396292,335396,60896,503302,1015.9,340116,67.6,433116,368542,64574,561972,1129,430542,76.6,541030,460120,80910,568623,1112,374560,65.9,412713,385224,27489,605360,1193,337551,55.8,370577,354646,15931,637686,1252,330809,51.9,467497,373015,94482,671224,1311,351361,52.3,489493,392618,96875
,,절도,191114,391.8,81146,42.5,106105,95908,10197,190745,389.3,81724,42.8,107897,97348,10549,212530,431.1,102816,48.4,141223,124117,17106,223264,450.7,113656,50.9,153695,135363,18332,256680,516,177595,69.2,230836,204953,25883,268007,524,145978,54.5,162615,152908,9707,281561,555,113155,40.2,128259,122537,5722,293074,575,107540,36.7,108199,87053,21146,290841,568,119696,41.2,106608,85259,21349
,,장물,3547,7.3,3490,98.4,4091,3857,234,2432,5,2468,101.5,3111,2900,211,3050,6.2,3000,98.4,3983,3453,530,2212,4.5,2175,98.3,2957,2687,270,3381,7,3343,98.9,4383,3847,536,3206,6,3175,99,3474,3262,212,2606,5,2560,98.2,3005,2899,106,3856,8,3699,95.9,5517,4919,598,6491,13,6248,96.3,7465,6804,661
,,사기,203697,417.6,167027,82,189627,162129,27498,203346,415.1,164496,80.9,178247,154327,23920,186115,377.5,158053,84.9,188134,152001,36133,205140,414.1,167437,81.6,201690,163920,37770,224889,452,189162,84.1,235304,189439,45865,205913,403,163770,79.5,178703,164180,14523,226359,446,169990,75.1,183807,175088,8719,241275,474,164769,68.3,279334,218419,60915,274086,536,169318,61.8,297713,235466,62247
,,횡령,25412,52.1,21677,85.3,24773,22347,2426,25084,51.2,21668,86.4,23690,21466,2224,24122,48.9,21556,89.4,25437,22199,3238,26750,54,23624,88.3,36863,32806,4057,27362,55,24367,89.1,28969,24740,4229,26312,51,22219,84.4,26423,24827,1596,27882,55,21044,75.5,22432,21683,749,33044,65,23119,70,35112,28561,6551,36214,71,24626,68,37886,30738,7148
,,배임,5901,12.1,5143,87.2,7243,6402,841,5402,11,4898,90.7,6491,5791,700,5256,10.7,4751,90.4,7299,6216,1083,5135,10.4,4693,91.4,7029,5933,1096,6709,13,6187,92.2,9129,7851,1278,14619,29,13962,95.5,15207,14745,462,5401,11,4842,89.7,6733,6541,192,5176,10,4360,84.2,8897,7271,1626,5296,10,4500,85,9734,7942,1792
