○ 범죄의 발생 검거상황(총괄) [],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
범죄별,항목,단위,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년
총계,발생건수[건],건,1933835,2020731,2008290,1824876,1738190,1767684,1714579,1531705,1575007,1613754,1729975
총계,발생비[건/10만명],건/10만명,3768,3921.5,3884.8,3524.4,3353.9,3409.2,3308.1,2966.2,3061.9,3144.2,3377.7
총계,검거건수[건],건,1518792,1638549,1691370,1556963,1466406,1479904,1399428,1228452,1219006,1272642,1363515
총계,발생건수대비 검거건수[%],%,78.5,81.1,84.2,85.3,84.4,83.7,81.6,80.2,77.4,78.9,78.8
총계,검거인원[명],명,1879548,1948966,2020196,1861796,1749459,1754808,1638387,1359952,1359389,1360807,1405185
총계,남자검거인원[명],명,1515159,1559659,1621184,1485212,1376363,1365413,1273827,1054864,1053321,1051171,1074546
총계,여자검거인원[명],명,336748,353977,368645,350251,344739,362614,338597,288315,287237,287597,297342
총계,미상검거인원[명],명,27641,35330,30367,26333,28357,26781,25963,16773,18831,22039,33297
총계,법인[개],개,21471,20839,22246,23850,23441,26095,22048,19747,20745,19686,15212
형법범,발생건수[건],건,1016209,1047761,1005689,958865,988398,1041395,1044438,917787,1003883,1026799,1096129
형법범,발생비[건/10만명],건/10만명,1980,2033.3,1945.4,1851.9,1907.1,2008.5,2015.2,1777.3,1951.6,2000.6,2140.2
형법범,검거건수[건],건,705861,784441,789278,752903,757922,791397,767742,651055,690847,721603,783374
형법범,발생건수대비 검거건수[%],%,69.5,74.9,78.5,78.5,76.7,76,73.5,70.9,68.8,70.3,71.5
형법범,검거인원[명],명,949859,993932,1007048,962775,963276,990685,943415,740929,776102,799599,818900
형법범,남자검거인원[명],명,765031,795855,805210,765963,754596,770028,733511,575582,601015,613826,621306
형법범,여자검거인원[명],명,169287,182725,185844,181079,188054,201876,190659,153524,163027,171049,182124
형법범,미상검거인원[명],명,15541,15352,15994,15733,20626,18781,19245,11823,12060,14724,15470
형법범,법인[개],개,1162,1111,1455,1581,1507,1598,1326,621,622,669,1919
재산범죄,발생건수[건],건,617119,622126,573445,542336,576937,627430,659058,575332,634864,669303,746794
재산범죄,발생비[건/10만명],건/10만명,1202,1207.3,1109.3,1047.4,1113.2,1210.1,1271.6,1114.1,1234.2,1304,1458.1
재산범죄,검거건수[건],건,346535,394144,389937,370121,382437,414793,422267,348585,373243,398592,466944
재산범죄,발생건수대비 검거건수[%],%,56.2,63.4,68,68.2,66.3,66.1,64.1,60.6,58.8,59.6,62.5
재산범죄,검거인원[명],명,411083,431741,429896,414778,427056,452175,445966,329808,348342,375192,411643
재산범죄,남자검거인원[명],명,321662,336445,333597,320603,325782,342277,338911,248544,260354,279547,303100
