mapping_version,source,year_from,year_to,category_raw,category_std,confidence,notes
v1,NPA,2005,2023,총계 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,총계 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,총계 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,총계 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,형법범 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,형법범 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,특별법범 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,특별법범 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,형법범 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,형법범 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,특별법범 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,특별법범 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,재산범죄 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,사기 / 발생건수[건],FRAUD_FIN,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,사기 / 검거인원[명],FRAUD_FIN,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,재산범죄 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,폭행 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,사기 / 검거건수[건],FRAUD_FIN,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,절도 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,재산범죄 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
