mapping_version,source,year_from,year_to,category_raw,category_std,confidence,notes
v2,NPA,2024,2025,총계,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,형법범,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,사기,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,재산범죄,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,특별법범,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,절도,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,폭행,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,강력범죄(폭력),OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,도로교통법(음주운전),OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,기타형법범죄,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,손괴,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,교통사고처리특례법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,횡령,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,기타특별법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,저작권법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,상해,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,강력범죄(흉악),OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,성폭력,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,근로기준법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,명예,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,도로교통법(무면허운전),OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,협박,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,자동차관리법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,공무방해,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,정보통신망이용촉진 및 정보보호 등에 관한법률,CYBER,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,컴퓨터등사용사기,CYBER,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,주거침입,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,신용업무경매,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,전기통신금융사기피해금환급에관한특별법,CYBER,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,자동차 손해배상 보장법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,위조범죄,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,강제추행,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,아동복지법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,문서,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,스토킹범죄의처벌등에관한법률,OTHER,LOW,AUTO_FROM_RAW
