period_flag,category_raw,value
CORE,총계 / 발생건수[건],17728651.0
CORE,총계 / 검거인원[명],16933308.0
CORE,총계 / 검거건수[건],14471512.0
CORE,총계 / 남자검거인원[명],13356173.0
CORE,형법범 / 발생건수[건],10051224.0
CORE,형법범 / 검거인원[명],9127620.0
CORE,특별법범 / 검거인원[명],7805688.0
CORE,특별법범 / 발생건수[건],7677427.0
CORE,형법범 / 검거건수[건],7413049.0
CORE,형법범 / 남자검거인원[명],7180617.0
CORE,특별법범 / 검거건수[건],7058463.0
CORE,특별법범 / 남자검거인원[명],6175556.0
CORE,재산범죄 / 발생건수[건],6097950.0
CORE,사기 / 발생건수[건],5688507.0
CORE,사기 / 검거인원[명],4357459.0
CORE,재산범죄 / 검거인원[명],4066037.0
CORE,폭행 / 검거인원[명],3979784.0
CORE,사기 / 검거건수[건],3971434.0
CORE,절도 / 발생건수[건],3904424.0
CORE,재산범죄 / 검거건수[건],3840654.0
CORE,사기 / 남자검거인원[명],3322395.0
CORE,총계 / 여자검거인원[명],3318720.0
CORE,폭행 / 남자검거인원[명],3243558.0
CORE,재산범죄 / 남자검거인원[명],3107722.0
CORE,강력범죄(폭력) / 검거인원[명],2976604.0
CORE,폭행 / 발생건수[건],2959409.0
CORE,폭행 / 검거건수[건],2801999.0
CORE,강력범죄(폭력) / 남자검거인원[명],2444927.0
CORE,절도 / 검거건수[건],2262491.0
CORE,절도,2207816.0
CORE,강력범죄(폭력) / 발생건수[건],2202940.0
CORE,강력범죄(폭력) / 검거건수[건],2074174.0
CORE,사기,1970820.0
CORE,절도 / 검거인원[명],1961516.0
CORE,형법범 / 여자검거인원[명],1787124.0
CORE,교통사고처리특례법 / 검거인원[명],1682364.0
CORE,교통사고처리특례법 / 발생건수[건],1651574.0
CORE,교통사고처리특례법 / 검거건수[건],1610606.0
CORE,특별법범 / 여자검거인원[명],1531596.0
CORE,도로교통법(음주운전) / 검거인원[명],1458923.0
CORE,절도 / 남자검거인원[명],1451016.0
CORE,도로교통법(음주운전) / 발생건수[건],1447625.0
CORE,도로교통법(음주운전) / 검거건수[건],1442139.0
CORE,교통사고처리특례법 / 남자검거인원[명],1306103.0
CORE,도로교통법(음주운전) / 남자검거인원[명],1298716.0
CORE,상해 / 검거인원[명],1291997.0
CORE,손괴 / 발생건수[건],1145076.0
